,user_id,brand_id,avg_score
263,39391,6021,7.8
264,39982,6217,7.6
265,14426,5910,8.2
266,29021,6026,6.6
267,18882,6193,8.8
268,3757,6083,10.0
269,21243,6185,7.2
270,28322,12050,8.0
271,9093,11035,7.2
272,20215,11098,7.2
273,26166,14148,4.0
274,26166,13536,7.0
275,5008,14357,1.8
276,13766,13534,7.6
277,27743,14217,7.6
278,21371,13604,7.4
279,21371,13513,6.0
280,1324,13691,8.2
281,6844,13780,8.0
282,33096,13537,5.0
283,26326,13541,7.2
284,26326,13535,7.4
285,18862,14330,10.0
286,33710,14361,8.2
287,30916,13296,7.4
288,30337,3944,7.4
289,34034,3985,7.2
290,29818,13542,7.6
291,21243,6187,6.8
292,2043,5945,5.0
293,12117,6125,7.4
294,12117,5982,4.2
295,35048,6064,7.2
296,2543,5983,8.2
297,5388,6185,8.4
298,37331,1536,8.0
299,14346,1828,9.0
300,1441,1690,10.0
301,1708,1821,7.8
302,41030,1597,7.8
303,37686,1533,9.0
304,3294,1675,8.0
305,33205,1825,9.0
306,34493,1595,8.0
307,24005,14279,6.0
308,39391,6087,8.0
309,14426,5893,8.0
310,14419,5998,8.0
311,14419,6129,8.0
312,14419,6185,8.0
313,23664,6185,8.6
314,11448,5946,6.6
315,11448,5960,7.4
316,11456,6185,8.0
317,11448,6222,6.8
318,9756,6170,7.8
319,11448,5970,7.0
320,39982,5970,8.0
321,32732,11770,8.0
322,29833,5613,7.2
323,10743,5643,7.4
324,1539,14361,7.2
325,22618,13577,7.2
326,6844,13704,8.0
327,27743,13886,8.0
328,11797,13887,8.2
329,11797,13610,7.8
330,11797,14437,8.4
331,11797,13610,8.4
332,11797,14043,8.0
333,8752,14242,6.6
334,6844,14260,8.2
335,37044,13938,9.6
336,19282,13938,9.4
337,14571,14364,10.0
338,8752,14001,8.4
339,33200,13047,7.8
340,4555,13065,9.4
341,8752,13539,7.6
342,2789,13779,7.4
343,18436,14052,8.0
344,17639,13858,7.4
345,22640,1690,10.0
346,34493,1788,8.0
347,18456,1532,6.4
348,28406,1556,8.0
349,17452,1533,8.8
350,4431,1690,8.6
351,4431,1531,9.0
352,26045,1699,7.0
353,4431,1699,5.0
354,40823,1621,8.2
355,14520,13047,8.0
356,5327,12356,7.2
357,16000,6261,8.0
358,33623,1597,8.8
359,23251,1533,8.6
360,6582,1675,9.2
